읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
옥수동,옥수어울림,144,2012.01,옥수어울림,297세대(총6개동),7층/20층,2011년 12월 30일,444대(세대당 1.49대),248%,36%,금호산업(주),"개별난방, 도시가스",103136,37.542149,127.01806,92㎡,92.9㎡/59.59㎡(전용률 64%),3개,1개,계단식,7세대,107B㎡,107.14㎡/84.69㎡(전용률 79%),3개,2개,계단식,144세대,107A㎡,107.74㎡/84.65㎡(전용률 79%),3개,2개,계단식,72세대,107D㎡,107.16㎡/84.62㎡(전용률 79%),3개,2개,계단식,14세대,108C㎡,108.85㎡/84.96㎡(전용률 78%),3개,2개,계단식,20세대,162A㎡,162.19㎡/128.1㎡(전용률 79%),4개,2개,계단식,9세대,,,,,,,162B㎡,162.19㎡/128.1㎡(전용률 79%),4개,2개,계단식,7세대,162B-1㎡,162.88㎡/128.53㎡(전용률 79%),4개,2개,계단식,7세대,162C㎡,162.19㎡/128.1㎡(전용률 79%),4개,2개,계단식,4세대
옥수동,옥수하이츠,248,1997.09,옥수하이츠,"774세대(기타임대 238세대 포함, 총10개동)",9층/21층,1998년 03월 30일,790대(세대당 1.02대),212%,20%,(주)중앙건설,"개별난방, 도시가스",564,37.540242,127.016275,105㎡,105.8㎡/84.86㎡(전용률 80%),3개,2개,계단식,248세대,139B㎡,139.68㎡/114.78㎡(전용률 82%),4개,2개,계단식,254세대,139A㎡,139.44㎡/114.72㎡(전용률 82%),4개,2개,계단식,34세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,옥수현대,164,1990.05,옥수현대,566세대(총8개동),5층/15층,1990년 05월 25일,962대(세대당 1.69대),200%,-,현대건설(주),"중앙난방, 도시가스",567,37.544185,127.019199,76㎡,76.97㎡/58.72㎡(전용률 76%),2개,1개,복도식,22세대,82㎡,82.82㎡/63.13㎡(전용률 76%),2개,1개,복도식,12세대,91B㎡,91.82㎡/77.32㎡(전용률 84%),3개,1개,계단식,20세대,92A㎡,92.57㎡/71.05㎡(전용률 77%),3개,1개,복도식,164세대,98A㎡,98.91㎡/84.9㎡(전용률 86%),3개,1개,계단식,108세대,98B㎡,98.24㎡/75.37㎡(전용률 77%),3개,1개,복도식,30세대,118A㎡,118.44㎡/104.38㎡(전용률 88%),4개,2개,계단식,60세대,118B㎡,118.9㎡/104.41㎡(전용률 88%),4개,2개,계단식,60세대,140㎡,140.76㎡/123.51㎡(전용률 88%),4개,2개,계단식,90세대,,,,,,
하왕십리동,왕십리KCC스위첸,44,2016.04,왕십리KCC스위첸,272세대(총3개동),10층/18층,2016년 04월 28일,277대(세대당 1.01대),211%,21%,(주)케이씨씨건설,"개별난방, 도시가스",107508,37.560982,127.026959,78A㎡,78.51㎡/59.85㎡(전용률 76%),3개,2개,계단식,28세대,78B㎡,78.51㎡/59.85㎡(전용률 76%),3개,2개,계단식,14세대,84A㎡,84.01㎡/64.23㎡(전용률 76%),3개,2개,계단식,49세대,84C㎡,84.01㎡/64.24㎡(전용률 76%),3개,2개,계단식,28세대,84B㎡,84.01㎡/64.23㎡(전용률 76%),3개,2개,계단식,13세대,89A㎡,89.23㎡/68.11㎡(전용률 76%),3개,2개,계단식,19세대,89B㎡,89.75㎡/68.73㎡(전용률 77%),3개,2개,계단식,15세대,96㎡,96.24㎡/73.76㎡(전용률 77%),3개,2개,계단식,2세대,110B㎡,110.05㎡/84.89㎡(전용률 77%),3개,2개,계단식,47세대,110A㎡,110.05㎡/84.89㎡(전용률 77%),3개,2개,계단식,44세대
상왕십리동,왕십리뉴타운2차텐즈힐(2구역),305,2014.06,,,,,,,,,,,,,78A㎡,110.05㎡/84.89㎡(전용률 77%),3개,2개,계단식,44세대,78B㎡,78.51㎡/59.85㎡(전용률 76%),3개,2개,계단식,14세대,84A㎡,84.01㎡/64.23㎡(전용률 76%),3개,2개,계단식,49세대,84C㎡,84.01㎡/64.24㎡(전용률 76%),3개,2개,계단식,28세대,84B㎡,84.01㎡/64.23㎡(전용률 76%),3개,2개,계단식,13세대,89A㎡,89.23㎡/68.11㎡(전용률 76%),3개,2개,계단식,19세대,89B㎡,89.75㎡/68.73㎡(전용률 77%),3개,2개,계단식,15세대,,,,,,,,,,,,,,,,,,
하왕십리동,"왕십리센트라스(1,2차)",487,2016.11,"센트라스1,2차","2529세대(임대 432세대 포함, 총30개동)",4층/28층,2016년 11월,3043대(세대당 1.2대),312%,39%,"현대건설(주),에스케이건설(주),(주)포스코건설","개별난방, 도시가스",109910,37.566563,127.024787,57㎡,57.6㎡/40.94㎡(전용률 71%),1개,1개,계단식,144세대,78A㎡,78.64㎡/59.94㎡(전용률 76%),3개,2개,계단식,167세대,78H㎡,78.4㎡/59.96㎡(전용률 76%),3개,2개,계단식,7세대,83C㎡,83.46㎡/59.93㎡(전용률 72%),3개,2개,계단식,96세대,83B㎡,83.46㎡/59.94㎡(전용률 72%),3개,2개,계단식,42세대,87D㎡,87.88㎡/59.95㎡(전용률 68%),3개,2개,계단식,92세대,87F㎡,87.66㎡/59.59㎡(전용률 68%),3개,2개,계단식,69세대,88E㎡,88.71㎡/59.99㎡(전용률 68%),3개,2개,계단식,138세대,88G㎡,88.21㎡/59.66㎡(전용률 68%),3개,2개,계단식,23세대,109E㎡,109.97㎡/84.96㎡(전용률 77%),3개,2개,계단식,487세대
하왕십리동,왕십리자이,176,2017.07,왕십리자이,"713세대(임대 126세대 포함, 총7개동)",11층/20층,2017년 07월 28일,933대(세대당 1.3대),226%,18%,GS건설(주),"개별난방, 도시가스",111002,37.560484,127.024657,73A㎡,73.17㎡/51.94㎡(전용률 71%),2개,1개,계단식,34세대,73B㎡,73.14㎡/51.91㎡(전용률 71%),2개,1개,계단식,18세대,81B㎡,81.39㎡/59.99㎡(전용률 74%),3개,2개,계단식,176세대,81D㎡,81.83㎡/59.99㎡(전용률 73%),3개,2개,계단식,53세대,82C㎡,82.53㎡/59.99㎡(전용률 73%),3개,2개,계단식,117세대,85A㎡,85.01㎡/59.99㎡(전용률 71%),3개,2개,계단식,38세대,112㎡,112.79㎡/84.99㎡(전용률 75%),3개,2개,계단식,151세대,,,,,,,,,,,,,,,,,,
하왕십리동,왕십리지웰,38,2009.1,하왕십리신영지웰,82세대(총2개동),8층/11층,2009년 10월 01일,103대(세대당 1.25대),206%,27%,한라건설(주),"개별난방, 도시가스",27140,37.560926,127.031079,109A㎡,109.38㎡/84.98㎡(전용률 78%),3개,2개,계단식,38세대,109B㎡,109.69㎡/84.95㎡(전용률 77%),3개,2개,계단식,38세대,174㎡,174.33㎡/133.53㎡(전용률 77%),4개,2개,계단식,6세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,우방,68,1997.06,성수우방,92세대(총1개동),8층/12층,1997년 06월 28일,94대(세대당 1.02대),274%,29%,(주)우방,"개별난방, 도시가스",557,37.55071,127.04729,81㎡,81.52㎡/60㎡(전용률 74%),3개,1개,복도식,68세대,115㎡,115.43㎡/84.96㎡(전용률 74%),3개,2개,복도식,24세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,우방2차,103,1999.09,성수우방2차,221세대(총1개동),14층/18층,1999년 12월 08일,221대(세대당 1대),372%,26%,(주)우방,"개별난방, 도시가스",324,37.548371,127.051725,80㎡,80.25㎡/59.82㎡(전용률 75%),3개,1개,복합식,103세대,95㎡,95.63㎡/71.28㎡(전용률 75%),3개,1개,계단식,4세대,113A㎡,113.56㎡/84.64㎡(전용률 75%),3개,2개,계단식,98세대,113B㎡,113.69㎡/84.75㎡(전용률 75%),3개,2개,계단식,16세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,우성,48,2004.11,우성,55세대(총1개동),13층/13층,2004년 11월 11일,63대(세대당 1.14대),228%,23%,우성휠건설(주),"개별난방, 도시가스",19711,37.548847,127.050497,103B㎡,103.46㎡/84.67㎡(전용률 82%),3개,2개,계단식,48세대,103A㎡,103.93㎡/84.66㎡(전용률 81%),3개,2개,계단식,6세대,149㎡,149.32㎡/120.04㎡(전용률 80%),4개,2개,계단식,1세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,장미,100,1982.04,장미,173세대(총6개동),3층/5층,1982년 04월 30일,-,-,-,"신한,삼익건설","개별난방, 도시가스",558,37.543108,127.046032,58㎡,58.71㎡/49.23㎡(전용률 84%),2개,1개,계단식,20세대,64㎡,64.23㎡/53.87㎡(전용률 84%),3개,1개,계단식,30세대,65㎡,65.95㎡/47.97㎡(전용률 73%),2개,1개,계단식,18세대,79㎡,79.48㎡/66.71㎡(전용률 84%),3개,1개,계단식,5세대,81㎡,81.8㎡/68.66㎡(전용률 84%),3개,1개,계단식,100세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마장동,장원,18,2002.12,장원,38세대(총1개동),10층/11층,2002년 12월 24일,48대(세대당 1.26대),289%,31%,(주)강남종합건설,"개별난방, 도시가스",10976,37.569138,127.044806,93㎡,93.78㎡/77.6㎡(전용률 83%),4개,2개,계단식,18세대,100㎡,100.98㎡/84.8㎡(전용률 84%),3개,2개,계단식,18세대,187㎡,187.62㎡/155.2㎡(전용률 83%),3개,2개,계단식,1세대,197㎡,197.2㎡/164.8㎡(전용률 84%),3개,2개,계단식,1세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마장동,중앙하이츠,81,1999.06,중앙하이츠,170세대(총2개동),15층/23층,1999년 05월 31일,186대(세대당 1.09대),367%,22%,중앙건설,"개별난방, 도시가스",1171,37.565611,127.038795,87㎡,87.53㎡/60㎡(전용률 69%),3개,1개,복도식,81세대,109㎡,109.29㎡/84.8㎡(전용률 78%),3개,2개,계단식,89세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,중앙하이츠빌,211,2003.1,중앙하이츠빌,256세대(총3개동),19층/23층,2003년 10월 27일,294대(세대당 1.14대),249%,17%,(주)중앙건설,"개별난방, 도시가스",8578,37.547888,127.047669,107A㎡,107.92㎡/84.96㎡(전용률 79%),3개,2개,계단식,211세대,108B㎡,108.16㎡/84.72㎡(전용률 78%),3개,2개,계단식,45세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍익동,청계대주파크빌,70,2005.1,청계대주파크빌,101세대(총1개동),14층/15층,2005년 11월 23일,115대(세대당 1.13대),248%,19%,대주건설,"개별난방, 도시가스",22692,37.567307,127.031268,90㎡,90.68㎡/74.63㎡(전용률 82%),3개,2개,계단식,1세대,94A㎡,94.7㎡/78.27㎡(전용률 83%),3개,2개,계단식,1세대,97B㎡,97.21㎡/80.5㎡(전용률 83%),3개,2개,계단식,1세대,100㎡,100.04㎡/83.19㎡(전용률 83%),3개,2개,계단식,2세대,102A㎡,102.23㎡/84.98㎡(전용률 83%),3개,2개,계단식,70세대,102B㎡,102.32㎡/84.98㎡(전용률 83%),3개,2개,계단식,14세대,102C㎡,102.4㎡/84.94㎡(전용률 83%),3개,2개,계단식,12세대,,,,,,,,,,,,,,,,,,
하왕십리동,청계벽산,336,1996.06,벽산,"1332세대(기타임대 510세대 포함, 총9개동)",15층/21층,1996년 06월 07일,1037대(세대당 1.02대),267%,23%,벽산건설(주),"개별난방, 도시가스",573,37.56889,127.03129,88㎡,88.99㎡/71.33㎡(전용률 80%),3개,1개,계단식,90세대,107㎡,107.35㎡/84.94㎡(전용률 79%),3개,2개,계단식,336세대,139㎡,139.51㎡/114.46㎡(전용률 82%),4개,2개,계단식,396세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,청구강변1차,192,1994.04,청구강변(101동),246세대(총1개동),10층/21층,1994년 04월 04일,182대(세대당 0.73대),-,-,(주)청구,"개별난방, 도시가스",559,37.535518,127.054638,73㎡,73.38㎡/59.94㎡(전용률 82%),2개,1개,복도식,36세대,103A㎡,103.91㎡/84.87㎡(전용률 82%),3개,2개,계단식,192세대,104B㎡,104.03㎡/84.96㎡(전용률 82%),3개,2개,계단식,18세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,청구강변3차,25,1994.08,강변청구(102동),47세대(총1개동),10층/13층,1995년 06월 09일,44대(세대당 0.93대),383%,41%,(주)청구,"개별난방, 도시가스",15648,37.535426,127.053855,76㎡,76.56㎡/59.94㎡(전용률 78%),2개,1개,계단식,25세대,108㎡,108.05㎡/84.6㎡(전용률 78%),3개,2개,복도식,22세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하왕십리동,텐즈힐1,381,2015.04,텐즈힐1,"1702세대(임대 333세대 포함, 총21개동)",5층/25층,2015년 04월 24일,2431대(세대당 1.42대),224%,21%,"삼성물산(주),대림산업(주),지에스건설(주),현대산업개발(주)","개별난방, 도시가스",107240,37.568901,127.028239,83A㎡,83.91㎡/59.88㎡(전용률 71%),3개,2개,계단식,142세대,84B㎡,84.87㎡/59.75㎡(전용률 70%),3개,2개,계단식,30세대,100㎡,100.25㎡/72.52㎡(전용률 72%),3개,2개,계단식,50세대,107A㎡,107.21㎡/84.96㎡(전용률 79%),3개,2개,계단식,381세대,110D㎡,110.52㎡/84.88㎡(전용률 77%),3개,2개,계단식,361세대,110B㎡,110.66㎡/84.92㎡(전용률 77%),3개,2개,계단식,47세대,111C㎡,111.3㎡/84.97㎡(전용률 76%),3개,2개,계단식,18세대,160㎡,160.11㎡/129.34㎡(전용률 81%),4개,2개,계단식,204세대,176A㎡,176.36㎡/148.8㎡(전용률 84%),4개,2개,계단식,36세대,179B㎡,179.28㎡/148.94㎡(전용률 83%),4개,2개,계단식,100세대
성수동1가,트리마제,76,2017.05,트리마제,688세대(총4개동),28층/47층,2017년 05월 29일,1120대(세대당 1.62대),319%,16%,두산중공업(주),"개별난방, 도시가스",108405,37.538893,127.044942,39㎡,39.18㎡/25.32㎡(전용률 65%),1개,1개,계단식,76세대,53㎡,53.84㎡/35.44㎡(전용률 66%),1개,1개,계단식,38세대,74㎡,74.09㎡/49.66㎡(전용률 67%),1개,1개,계단식,38세대,95㎡,95.52㎡/69.72㎡(전용률 73%),1개,1개,계단식,76세대,124B㎡,124.8㎡/84.81㎡(전용률 68%),3개,2개,계단식,75세대,126A㎡,126.66㎡/84.82㎡(전용률 67%),3개,2개,계단식,97세대,128C㎡,128.9㎡/84.54㎡(전용률 66%),3개,2개,계단식,78세대,185㎡,185.82㎡/136.56㎡(전용률 73%),3개,2개,계단식,76세대,189㎡,189.02㎡/140.3㎡(전용률 74%),3개,2개,계단식,78세대,204㎡,204.49㎡/152.15㎡(전용률 74%),3개,2개,계단식,52세대
하왕십리동,풍림아이원,339,2004.12,왕십리풍림아이원,758세대(총15개동),13층/18층,2004년 11월 30일,848대(세대당 1.11대),245%,16%,풍림산업(주),"개별난방, 도시가스",9168,37.558851,127.025277,74㎡,74.87㎡/59.93㎡(전용률 80%),3개,1개,계단식,339세대,104㎡,104.9㎡/84.41㎡(전용률 80%),3개,2개,계단식,280세대,144㎡,144.01㎡/114.92㎡(전용률 80%),4개,2개,계단식,139세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,한남하이츠,139,1982.1,한남하이츠,535세대(총8개동),12층/14층,1982년 09월 18일,520대(세대당 0.97대),143%,-,중앙기업,"중앙난방, 도시가스",566,37.539684,127.0142,93㎡,93.72㎡/87.67㎡(전용률 94%),2개,1개,복도식,66세대,94A㎡,94.84㎡/89.19㎡(전용률 94%),2개,1개,계단식,60세대,95C㎡,95.11㎡/89.26㎡(전용률 94%),2개,1개,계단식,5세대,95B㎡,95.04㎡/89.22㎡(전용률 94%),2개,1개,계단식,1세대,96D㎡,96.69㎡/91.07㎡(전용률 94%),2개,1개,계단식,3세대,96E㎡,96.7㎡/91.11㎡(전용률 94%),2개,1개,계단식,2세대,107A㎡,107.27㎡/101.09㎡(전용률 94%),3개,1개,복도식,54세대,107B㎡,107.3㎡/101.12㎡(전용률 94%),4개,1개,계단식,48세대,107C㎡,107.37㎡/101.19㎡(전용률 94%),4개,1개,계단식,1세대,108B㎡,108.14㎡/102.12㎡(전용률 94%),3개,1개,계단식,7세대
금호동3가,한신休플러스,153,2005.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하왕십리동,한신무학,141,1988.1,한신무학,480세대(총5개동),6층/15층,1989년 03월 30일,672대(세대당 1.4대),-,-,한신공영(주),"개별난방, 도시가스",574,37.56278,127.028633,74㎡,74.15㎡/62.41㎡(전용률 84%),2개,1개,계단식,90세대,90B㎡,90.29㎡/75.2㎡(전용률 83%),3개,2개,계단식,141세대,93A㎡,93.73㎡/70.12㎡(전용률 75%),3개,1개,계단식,12세대,113㎡,113.41㎡/94.46㎡(전용률 83%),3개,2개,계단식,115세대,119㎡,119.1㎡/88.76㎡(전용률 75%),3개,2개,계단식,4세대,136B㎡,136.03㎡/114.59㎡(전용률 84%),4개,2개,계단식,114세대,143A㎡,143.51㎡/106.67㎡(전용률 74%),3개,2개,계단식,4세대,,,,,,,,,,,,,,,,,,
성수동2가,한신한강,126,1999.04,한강한신,202세대(총2개동),12층/19층,2000년 09월 19일,220대(세대당 1.08대),320%,27%,한신공영(주),"개별난방, 도시가스",1177,37.53587,127.05289,78㎡,78.45㎡/59.95㎡(전용률 76%),3개,1개,계단식,76세대,112㎡,112.21㎡/84.97㎡(전용률 76%),3개,2개,계단식,126세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,한양현대,74,1998.05,한양현대,168세대(총1개동),9층/19층,1999년 01월 13일,167대(세대당 0.99대),314%,31%,현대건설(주),"개별난방, 도시가스",1176,37.545565,127.047947,84㎡,84.24㎡/59.89㎡(전용률 71%),3개,1개,복도식,74세대,107㎡,107.77㎡/84.81㎡(전용률 79%),3개,2개,복도식,94세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,한진타운,190,1994.04,한진타운,378세대(총5개동),9층/17층,1994년 04월 04일,283대(세대당 0.74대),294%,28%,한진건설(주),"개별난방, 도시가스",560,37.541093,127.045401,78㎡,78.94㎡/59.4㎡(전용률 75%),3개,1개,복도식,190세대,103㎡,103.53㎡/84.21㎡(전용률 81%),3개,2개,계단식,188세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하왕십리동,한진해모르,69,2000.04,,,,,,,,,,,,,78㎡,103.53㎡/84.21㎡(전용률 81%),3개,2개,계단식,188세대,103㎡,103.53㎡/84.21㎡(전용률 81%),3개,2개,계단식,188세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,행당대림,705,2000.12,행당대림,"3404세대(기타임대 1005세대 포함, 총35개동)",5층/15층,2000년 12월 30일,3384대(세대당 0.99대),254%,22%,대림산업(주),"개별난방, 도시가스",950,37.557759,127.027283,83㎡,83.76㎡/59.96㎡(전용률 72%),3개,1개,복도식,705세대,104㎡,104.58㎡/84.87㎡(전용률 81%),3개,2개,계단식,1034세대,137㎡,137.26㎡/114.94㎡(전용률 84%),4개,2개,계단식,660세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,행당동두산위브,181,2009.12,두산위브,"465세대(기타임대 114세대 포함, 총7개동)",9층/15층,2009년 12월,479대(세대당 1.03대),231%,22%,두산건설,"개별난방, 도시가스",26215,37.55643,127.032213,82㎡,82.55㎡/59.99㎡(전용률 73%),3개,2개,계단식,181세대,99㎡,99.14㎡/70.76㎡(전용률 71%),3개,2개,계단식,12세대,107㎡,107.62㎡/84.99㎡(전용률 79%),3개,2개,계단식,15세대,110㎡,110.6㎡/84.99㎡(전용률 77%),3개,2개,계단식,114세대,143㎡,143.33㎡/114.99㎡(전용률 80%),4개,2개,계단식,29세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,행당한진타운,748,1999.05,행당한진타운,2123세대(총21개동),16층/25층,2000년 11월 07일,2615대(세대당 1.23대),294%,19%,(주)한진 중공업,"개별난방, 도시가스",878,37.555891,127.02913,86㎡,86.96㎡/59.96㎡(전용률 69%),3개,1개,복도식,748세대,108㎡,108.47㎡/84.71㎡(전용률 78%),3개,2개,계단식,805세대,144㎡,144.37㎡/114.62㎡(전용률 79%),4개,2개,계단식,570세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마장동,현대,252,1998.04,마장현대,1017세대(총11개동),22층/28층,1998년 04월 14일,1096대(세대당 1.07대),334%,20%,고려산업개발(주),"개별난방, 도시가스",877,37.569966,127.042452,81B㎡,81.77㎡/59.91㎡(전용률 73%),3개,1개,복도식,252세대,81A㎡,81.92㎡/59.94㎡(전용률 73%),3개,1개,복도식,222세대,108㎡,108.11㎡/84.91㎡(전용률 79%),3개,2개,계단식,334세대,162㎡,162.31㎡/134.79㎡(전용률 83%),4개,2개,계단식,165세대,203㎡,203.48㎡/164.86㎡(전용률 81%),5개,2개,계단식,44세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,현대그린,168,1994.11,성수현대그린,219세대(총1개동),11층/19층,1994년 02월 04일,273대(세대당 1.24대),299%,21%,현대건설(주),"개별난방, 도시가스",561,37.54064,127.05004,77㎡,77.39㎡/56.97㎡(전용률 74%),2개,1개,복도식,51세대,110㎡,110.69㎡/81.48㎡(전용률 74%),3개,2개,계단식,168세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,현대아이파크,236,2003.08,성수아이파크,656세대(총11개동),16층/25층,2003년 08월 28일,984대(세대당 1.5대),310%,20%,현대산업개발(주),"개별난방, 도시가스",8103,37.547171,127.057218,106㎡,106.94㎡/84.98㎡(전용률 79%),3개,2개,계단식,236세대,127㎡,127.68㎡/104.56㎡(전용률 82%),4개,2개,계단식,258세대,139㎡,139.77㎡/116.22㎡(전용률 83%),4개,2개,계단식,162세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동4가,힐스테이트서울숲리버,122,2018.02,힐스테이트서울숲리버,"606세대(임대 104세대 포함, 총15개동)",7층/15층,2018년 02월,782대(세대당 1.29대),200%,24%,현대건설(주),"개별난방, 도시가스",110939,37.547053,127.026383,80B㎡,80.23㎡/59.96㎡(전용률 75%),3개,2개,계단식,11세대,81A㎡,81.01㎡/59.98㎡(전용률 74%),3개,2개,계단식,122세대,88㎡,88.33㎡/64.95㎡(전용률 74%),3개,2개,계단식,21세대,110A㎡,110.06㎡/84.92㎡(전용률 77%),3개,2개,계단식,55세대,110C㎡,110.14㎡/84.83㎡(전용률 77%),3개,2개,계단식,34세대,110D㎡,110.9㎡/84.69㎡(전용률 76%),3개,2개,계단식,21세대,111B㎡,111.16㎡/84.88㎡(전용률 76%),3개,2개,계단식,124세대,142A㎡,142.39㎡/114.86㎡(전용률 81%),4개,2개,계단식,66세대,142B㎡,142.69㎡/114.89㎡(전용률 81%),4개,2개,계단식,20세대,168㎡,168.87㎡/141.86㎡(전용률 84%),4개,2개,계단식,28세대
